Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Review category,Status,Hydrants pill,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Fallback address when grey
20,BLACKWOOD MAIN-16,BLACKWOOD MAIN,AMBROSE STREET,BELAIR,AMBROSE STREET,BELAIR,AMBROSE STREET|BELAIR,No,Failed,Failed,Grey fallback,"1 AMBROSE STREET, BELAIR SA | 2 AMBROSE STREET, BELAIR SA | AMBROSE STREET, BELAIR SA",,,,,,No,No exact official candidate returned,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
43,BLACKWOOD MAIN-30,BLACKWOOD MAIN,AYLIFFES ROAD,PASADENA,AYLIFFES ROAD,PASADENA,AYLIFFES ROAD|PASADENA,No,Failed,Failed,Grey fallback,"1 AYLIFFES ROAD, PASADENA SA | 2 AYLIFFES ROAD, PASADENA SA | AYLIFFES ROAD, PASADENA SA",,,,,,No,No. 2: returned suburb/locality does not exactly match; No. 2: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
47,BLACKWOOD MAIN-34,BLACKWOOD MAIN,BALY COURT,BELAIR,BALY COURT,BELAIR,BALY COURT|BELAIR,No,Failed,Failed,Grey fallback,"1 BALY COURT, BELAIR SA | 2 BALY COURT, BELAIR SA | BALY COURT, BELAIR SA",,,,,,No,No. 1: returned street does not exactly match; No. 2: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
49,BLACKWOOD MAIN-35,BLACKWOOD MAIN,BANKSIA CRESCENT,BLACKWOOD,BANKSIA CRESCENT,BLACKWOOD,BANKSIA CRESCENT|BLACKWOOD,No,Failed,Failed,Grey fallback,"1 BANKSIA CRESCENT, BLACKWOOD SA | 2 BANKSIA CRESCENT, BLACKWOOD SA | BANKSIA CRESCENT, BLACKWOOD SA",,,,,,No,No. 2: returned suburb/locality does not exactly match; No. 2: returned street does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
63,CORO STREETS-11,CORO STREETS,BEN LOMMAN ROAD,COROMANDEL VALLEY EAST,BEN LOMMAN ROAD,COROMANDEL VALLEY EAST,BEN LOMMAN ROAD|COROMANDEL VALLEY EAST,No,Failed,Failed,Grey fallback,"1 BEN LOMMAN ROAD, COROMANDEL VALLEY EAST SA | 2 BEN LOMMAN ROAD, COROMANDEL VALLEY EAST SA | BEN LOMMAN ROAD, COROMANDEL VALLEY EAST SA",,,,,,No,street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
72,BLACKWOOD MAIN-53,BLACKWOOD MAIN,BLACKTHORNE AVENUE,HAWTHORNDENE,BLACKTHORNE AVENUE,HAWTHORNDENE,BLACKTHORNE AVENUE|HAWTHORNDENE,No,Failed,Failed,Grey fallback,"1 BLACKTHORNE AVENUE, HAWTHORNDENE SA | 2 BLACKTHORNE AVENUE, HAWTHORNDENE SA | BLACKTHORNE AVENUE, HAWTHORNDENE SA",,,,,,No,No. 1: returned street does not exactly match; No. 2: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
74,BLACKWOOD PARK-6,BLACKWOOD PARK,BLUE BELL COURT,CRAIGBURN FARM,BLUE BELL COURT,CRAIGBURN FARM,BLUE BELL COURT|CRAIGBURN FARM,No,Failed,Failed,Grey fallback,"1 BLUE BELL COURT, CRAIGBURN FARM SA | 2 BLUE BELL COURT, CRAIGBURN FARM SA | BLUE BELL COURT, CRAIGBURN FARM SA",,,,,,No,No. 1: returned street does not exactly match; No. 2: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
120,BLACKWOOD MAIN-84,BLACKWOOD MAIN,CHERRY PLANTATION ROAD,BELAIR NATIONAL PARK,CHERRY PLANTATION ROAD,BELAIR NATIONAL PARK,CHERRY PLANTATION ROAD|BELAIR NATIONAL PARK,No,Failed,Failed,Grey fallback,"1 CHERRY PLANTATION ROAD, BELAIR NATIONAL PARK SA | 2 CHERRY PLANTATION ROAD, BELAIR NATIONAL PARK SA | CHERRY PLANTATION ROAD, BELAIR NATIONAL PARK SA",,,,,,No,No exact official candidate returned,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
150,CORO STREETS-24,CORO STREETS,CRANE AVENUE,CORMANDEL VALLEY,CRANE AVENUE,CORMANDEL VALLEY,CRANE AVENUE|CORMANDEL VALLEY,No,Failed,Failed,Grey fallback,"1 CRANE AVENUE, CORMANDEL VALLEY SA | 2 CRANE AVENUE, CORMANDEL VALLEY SA | CRANE AVENUE, CORMANDEL VALLEY SA",,,,,,No,No. 2: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
151,BLACKWOOD MAIN-105,BLACKWOOD MAIN,CREEK ROAD,BELAIR NATIONAL PARK,CREEK ROAD,BELAIR NATIONAL PARK,CREEK ROAD|BELAIR NATIONAL PARK,No,Failed,Failed,Grey fallback,"1 CREEK ROAD, BELAIR NATIONAL PARK SA | 2 CREEK ROAD, BELAIR NATIONAL PARK SA | CREEK ROAD, BELAIR NATIONAL PARK SA",,,,,,No,street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
153,CORO STREETS-25,CORO STREETS,CROWS NEST COURT,CORMANDEL VALLEY,CROWS NEST COURT,CORMANDEL VALLEY,CROWS NEST COURT|CORMANDEL VALLEY,No,Failed,Failed,Grey fallback,"1 CROWS NEST COURT, CORMANDEL VALLEY SA | 2 CROWS NEST COURT, CORMANDEL VALLEY SA | CROWS NEST COURT, CORMANDEL VALLEY SA",,,,,,No,No. 2: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
154,BLACKWOOD MAIN-106,BLACKWOOD MAIN,CULLEY ROAD,BELAIR,CULLEY ROAD,BELAIR,CULLEY ROAD|BELAIR,No,Failed,Failed,Grey fallback,"1 CULLEY ROAD, BELAIR SA | 2 CULLEY ROAD, BELAIR SA | CULLEY ROAD, BELAIR SA",,,,,,No,No. 1: returned street does not exactly match; No. 2: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
155,CORO STREETS-26,CORO STREETS,CULLIN GROVE,FLAGSTAFF HILL,CULLIN GROVE,FLAGSTAFF HILL,CULLIN GROVE|FLAGSTAFF HILL,No,Failed,Failed,Grey fallback,"1 CULLIN GROVE, FLAGSTAFF HILL SA | 2 CULLIN GROVE, FLAGSTAFF HILL SA | CULLIN GROVE, FLAGSTAFF HILL SA",,,,,,No,street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
160,CORO STREETS-27,CORO STREETS,CURRAWONG CRESCENT,CORMANDEL VALLEY,CURRAWONG CRESCENT,CORMANDEL VALLEY,CURRAWONG CRESCENT|CORMANDEL VALLEY,No,Failed,Failed,Grey fallback,"1 CURRAWONG CRESCENT, CORMANDEL VALLEY SA | 2 CURRAWONG CRESCENT, CORMANDEL VALLEY SA | CURRAWONG CRESCENT, CORMANDEL VALLEY SA",,,,,,No,No. 2: returned suburb/locality does not exactly match; No. 2: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
162,CORO STREETS-28,CORO STREETS,DAINA COURT,CORMANDEL VALLEY,DAINA COURT,CORMANDEL VALLEY,DAINA COURT|CORMANDEL VALLEY,No,Failed,Failed,Grey fallback,"1 DAINA COURT, CORMANDEL VALLEY SA | 2 DAINA COURT, CORMANDEL VALLEY SA | DAINA COURT, CORMANDEL VALLEY SA",,,,,,No,No. 2: returned suburb/locality does not exactly match; No. 2: returned street does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
163,BLACKWOOD PARK-18,BLACKWOOD PARK,DAIRY COURT,CRAIGBURN PARK,DAIRY COURT,CRAIGBURN PARK,DAIRY COURT|CRAIGBURN PARK,No,Failed,Failed,Grey fallback,"1 DAIRY COURT, CRAIGBURN PARK SA | 2 DAIRY COURT, CRAIGBURN PARK SA | DAIRY COURT, CRAIGBURN PARK SA",,,,,,No,No. 2: returned suburb/locality does not exactly match; No. 2: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
166,CORO STREETS-29,CORO STREETS,DAVID STREET,CORMANDEL VALLEY,DAVID STREET,CORMANDEL VALLEY,DAVID STREET|CORMANDEL VALLEY,No,Failed,Failed,Grey fallback,"1 DAVID STREET, CORMANDEL VALLEY SA | 2 DAVID STREET, CORMANDEL VALLEY SA | DAVID STREET, CORMANDEL VALLEY SA",,,,,,No,No. 2: returned suburb/locality does not exactly match; No. 2: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
167,BLACKWOOD PARK-19,BLACKWOOD PARK,DAWBINEY AVENUE,CRAIGBURN PARK,DAWBINEY AVENUE,CRAIGBURN PARK,DAWBINEY AVENUE|CRAIGBURN PARK,No,Failed,Failed,Grey fallback,"1 DAWBINEY AVENUE, CRAIGBURN PARK SA | 2 DAWBINEY AVENUE, CRAIGBURN PARK SA | DAWBINEY AVENUE, CRAIGBURN PARK SA",,,,,,No,No. 1: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
171,BLACKWOOD MAIN-116,BLACKWOOD MAIN,DEPINDO ROAD,EDEN HILLS,DEPINDO ROAD,EDEN HILLS,DEPINDO ROAD|EDEN HILLS,No,Failed,Failed,Grey fallback,"1 DEPINDO ROAD, EDEN HILLS SA | 2 DEPINDO ROAD, EDEN HILLS SA | DEPINDO ROAD, EDEN HILLS SA",,,,,,No,No. 1: returned street does not exactly match; No. 2: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
172,CORO STREETS-30,CORO STREETS,DEVON DRIVE,CORMANDEL VALLEY,DEVON DRIVE,CORMANDEL VALLEY,DEVON DRIVE|CORMANDEL VALLEY,No,Failed,Failed,Grey fallback,"1 DEVON DRIVE, CORMANDEL VALLEY SA | 2 DEVON DRIVE, CORMANDEL VALLEY SA | DEVON DRIVE, CORMANDEL VALLEY SA",,,,,,No,No. 1: returned suburb/locality does not exactly match; No. 2: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
175,BLACKWOOD MAIN-119,BLACKWOOD MAIN,DIANELLA COURT,PASADENA,DIANELLA COURT,PASADENA,DIANELLA COURT|PASADENA,No,Failed,Failed,Grey fallback,"1 DIANELLA COURT, PASADENA SA | 2 DIANELLA COURT, PASADENA SA | DIANELLA COURT, PASADENA SA",,,,,,No,No. 1: returned street does not exactly match; No. 2: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match; street-only: returned street does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
176,CORO STREETS-31,CORO STREETS,DIOSMA DRIVE,CORMANDEL VALLEY,DIOSMA DRIVE,CORMANDEL VALLEY,DIOSMA DRIVE|CORMANDEL VALLEY,No,Failed,Failed,Grey fallback,"1 DIOSMA DRIVE, CORMANDEL VALLEY SA | 2 DIOSMA DRIVE, CORMANDEL VALLEY SA | DIOSMA DRIVE, CORMANDEL VALLEY SA",,,,,,No,No. 1: returned suburb/locality does not exactly match; No. 2: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
184,CORO STREETS-32,CORO STREETS,DRISCOLL ROAD,CORMANDEL VALLEY/EAST,DRISCOLL ROAD,CORMANDEL VALLEY/EAST,DRISCOLL ROAD|CORMANDEL VALLEY EAST,No,Failed,Failed,Grey fallback,"1 DRISCOLL ROAD, CORMANDEL VALLEY/EAST SA | 2 DRISCOLL ROAD, CORMANDEL VALLEY/EAST SA | DRISCOLL ROAD, CORMANDEL VALLEY/EAST SA",,,,,,No,No. 2: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
193,BLACKWOOD MAIN-130,BLACKWOOD MAIN,EDEN ROAD,EDEN HILLS,EDEN ROAD,EDEN HILLS,EDEN ROAD|EDEN HILLS,No,Failed,Failed,Grey fallback,"1 EDEN ROAD, EDEN HILLS SA | 2 EDEN ROAD, EDEN HILLS SA | EDEN ROAD, EDEN HILLS SA",,,,,,No,street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match; street-only: returned suburb/locality does not exactly match,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
