Entry number,Entry ID,Source,Street field,Authoritative locality field(s),Lookup street,Lookup locality,Lookup key,Duplicate lookup reused,Review category,Status,Hydrants pill,Query attempted,Matched official address,Method used,Score,Latitude,Longitude,Manual override,Notes / unresolved reason,Fallback address when grey
477,BLACKWOOD MAIN-338,BLACKWOOD MAIN,POLE ROAD,IRONBANK · UPPER STURT,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
481,BLACKWOOD MAIN-342,BLACKWOOD MAIN,PRITCHARD GROVE,PASADENA,PRITCHARD GROVE,PASADENA,PRITCHARD GROVE|PASADENA,No,Ambiguous,Ambiguous,Grey fallback,"1 PRITCHARD GROVE, PASADENA SA | 2 PRITCHARD GROVE, PASADENA SA | PRITCHARD GROVE, PASADENA SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
482,CORO STREETS-78,CORO STREETS,PRIVATE ROAD,Now WILDHEATH ROAD · COROMANDEL VALLEY,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
487,BLACKWOOD MAIN-346,BLACKWOOD MAIN,RAILWAY LANE,EDEN HILLS,RAILWAY LANE,EDEN HILLS,RAILWAY LANE|EDEN HILLS,No,Ambiguous,Ambiguous,Grey fallback,"1 RAILWAY LANE, EDEN HILLS SA | 2 RAILWAY LANE, EDEN HILLS SA | RAILWAY LANE, EDEN HILLS SA",,,,,,No,street-only: 2 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
498,BLACKWOOD MAIN-356,BLACKWOOD MAIN,RENFREW DRIVE,HAWTHORNDENE,RENFREW DRIVE,HAWTHORNDENE,RENFREW DRIVE|HAWTHORNDENE,No,Ambiguous,Ambiguous,Grey fallback,"1 RENFREW DRIVE, HAWTHORNDENE SA | 2 RENFREW DRIVE, HAWTHORNDENE SA | RENFREW DRIVE, HAWTHORNDENE SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
503,BLACKWOOD PARK-42,BLACKWOOD PARK,RIDING WAY,CRAIGBURN FARM,RIDING WAY,CRAIGBURN FARM,RIDING WAY|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Grey fallback,"1 RIDING WAY, CRAIGBURN FARM SA | 2 RIDING WAY, CRAIGBURN FARM SA | RIDING WAY, CRAIGBURN FARM SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
507,BLACKWOOD PARK-43,BLACKWOOD PARK,ROGERSON CIRCUIT,CRAIGBURN FARM,ROGERSON CIRCUIT,CRAIGBURN FARM,ROGERSON CIRCUIT|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Grey fallback,"1 ROGERSON CIRCUIT, CRAIGBURN FARM SA | 2 ROGERSON CIRCUIT, CRAIGBURN FARM SA | ROGERSON CIRCUIT, CRAIGBURN FARM SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
519,BLACKWOOD MAIN-373,BLACKWOOD MAIN,SANDFORD AVENUE,BLACKWOOD,SANDFORD AVENUE,BLACKWOOD,SANDFORD AVENUE|BLACKWOOD,No,Ambiguous,Ambiguous,Grey fallback,"1 SANDFORD AVENUE, BLACKWOOD SA | 2 SANDFORD AVENUE, BLACKWOOD SA | SANDFORD AVENUE, BLACKWOOD SA",,,,,,No,street-only: 9 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
523,CORO EAST & CHERRY-22,CORO EAST & CHERRY,SCENIC ROAD,DORSET VALE,SCENIC ROAD,DORSET VALE,SCENIC ROAD|DORSET VALE,No,Ambiguous,Ambiguous,Grey fallback,"1 SCENIC ROAD, DORSET VALE SA | 2 SCENIC ROAD, DORSET VALE SA | SCENIC ROAD, DORSET VALE SA",,,,,,No,street-only: 6 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
525,CORO EAST & CHERRY-23,CORO EAST & CHERRY,SCOTT CREEK ROAD,CHERRY GARDENS · SCOTT CREEK,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
526,CORO EAST & CHERRY-24,CORO EAST & CHERRY,SCOTT CREEK ROAD,IRONBANK · LONGWOOD · HEALTHFIELD,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
535,CORO STREETS-89,CORO STREETS,SHANNON CRESCENT,COROMANDEL VALLEY,SHANNON CRESCENT,COROMANDEL VALLEY,SHANNON CRESCENT|COROMANDEL VALLEY,No,Ambiguous,Ambiguous,Grey fallback,"1 SHANNON CRESCENT, COROMANDEL VALLEY SA | 2 SHANNON CRESCENT, COROMANDEL VALLEY SA | SHANNON CRESCENT, COROMANDEL VALLEY SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
540,BLACKWOOD MAIN-385,BLACKWOOD MAIN,SHEPHERDS HILL ROAD,BLACKWOOD · EDEN HILLS,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
542,BLACKWOOD MAIN-387,BLACKWOOD MAIN,SHERWOOD AVENUE,BELLEVUE HEIGHTS,SHERWOOD AVENUE,BELLEVUE HEIGHTS,SHERWOOD AVENUE|BELLEVUE HEIGHTS,No,Ambiguous,Ambiguous,Grey fallback,"1 SHERWOOD AVENUE, BELLEVUE HEIGHTS SA | 2 SHERWOOD AVENUE, BELLEVUE HEIGHTS SA | SHERWOOD AVENUE, BELLEVUE HEIGHTS SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
547,BLACKWOOD MAIN-391,BLACKWOOD MAIN,SIMLA PARADE,BLACKWOOD,SIMLA PARADE,BLACKWOOD,SIMLA PARADE|BLACKWOOD,No,Ambiguous,Ambiguous,Grey fallback,"1 SIMLA PARADE, BLACKWOOD SA | 2 SIMLA PARADE, BLACKWOOD SA | SIMLA PARADE, BLACKWOOD SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
550,CORO EAST & CHERRY-25,CORO EAST & CHERRY,SLACK ROAD,CHANDLERS HILL,SLACK ROAD,CHANDLERS HILL,SLACK ROAD|CHANDLERS HILL,No,Ambiguous,Ambiguous,Grey fallback,"1 SLACK ROAD, CHANDLERS HILL SA | 2 SLACK ROAD, CHANDLERS HILL SA | SLACK ROAD, CHANDLERS HILL SA",,,,,,No,street-only: 5 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
564,CORO EAST & CHERRY-26,CORO EAST & CHERRY,STAR & ARROW ROAD,CORO EAST · CHERRY GARDENS,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
567,BLACKWOOD MAIN-401,BLACKWOOD MAIN,STATION ROAD,BLACKWOOD,STATION ROAD,BLACKWOOD,STATION ROAD|BLACKWOOD,No,Ambiguous,Ambiguous,Grey fallback,"1 STATION ROAD, BLACKWOOD SA | 2 STATION ROAD, BLACKWOOD SA | STATION ROAD, BLACKWOOD SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
569,BLACKWOOD MAIN-402,BLACKWOOD MAIN,STIRLING ROAD,BLACKWOOD,STIRLING ROAD,BLACKWOOD,STIRLING ROAD|BLACKWOOD,No,Ambiguous,Ambiguous,Grey fallback,"1 STIRLING ROAD, BLACKWOOD SA | 2 STIRLING ROAD, BLACKWOOD SA | STIRLING ROAD, BLACKWOOD SA",,,,,,No,No. 1: 5 distinct exact candidates; No. 2: 3 distinct exact candidates; street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
572,BLACKWOOD MAIN-404,BLACKWOOD MAIN,STURTBRAE CRESCENT,BELLEVUE HEIGHTS,STURTBRAE CRESCENT,BELLEVUE HEIGHTS,STURTBRAE CRESCENT|BELLEVUE HEIGHTS,No,Ambiguous,Ambiguous,Grey fallback,"1 STURTBRAE CRESCENT, BELLEVUE HEIGHTS SA | 2 STURTBRAE CRESCENT, BELLEVUE HEIGHTS SA | STURTBRAE CRESCENT, BELLEVUE HEIGHTS SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
574,BLACKWOOD PARK-47,BLACKWOOD PARK,SUN DEW AVENUE,CRAIGBURN FARM,SUN DEW AVENUE,CRAIGBURN FARM,SUN DEW AVENUE|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Grey fallback,"1 SUN DEW AVENUE, CRAIGBURN FARM SA | 2 SUN DEW AVENUE, CRAIGBURN FARM SA | SUN DEW AVENUE, CRAIGBURN FARM SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
581,BLACKWOOD MAIN-410,BLACKWOOD MAIN,TACOMA BOULEVARD,PASADENA,TACOMA BOULEVARD,PASADENA,TACOMA BOULEVARD|PASADENA,No,Ambiguous,Ambiguous,Grey fallback,"1 TACOMA BOULEVARD, PASADENA SA | 2 TACOMA BOULEVARD, PASADENA SA | TACOMA BOULEVARD, PASADENA SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
587,BLACKWOOD PARK-50,BLACKWOOD PARK,THE FARM LANE,CRAIGBURN FARM,THE FARM LANE,CRAIGBURN FARM,THE FARM LANE|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Grey fallback,"1 THE FARM LANE, CRAIGBURN FARM SA | 2 THE FARM LANE, CRAIGBURN FARM SA | THE FARM LANE, CRAIGBURN FARM SA",,,,,,No,No. 2: 2 distinct exact candidates; street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
588,BLACKWOOD MAIN-415,BLACKWOOD MAIN,THE KNOLL CRESCENT,COROMANDEL VALLEY,THE KNOLL CRESCENT,COROMANDEL VALLEY,THE KNOLL CRESCENT|COROMANDEL VALLEY,Yes,Ambiguous,Ambiguous,Grey fallback,"1 THE KNOLL CRESCENT, COROMANDEL VALLEY SA | 2 THE KNOLL CRESCENT, COROMANDEL VALLEY SA | THE KNOLL CRESCENT, COROMANDEL VALLEY SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
589,CORO STREETS-96,CORO STREETS,THE KNOLL CRESCENT,COROMANDEL VALLEY,THE KNOLL CRESCENT,COROMANDEL VALLEY,THE KNOLL CRESCENT|COROMANDEL VALLEY,Yes,Ambiguous,Ambiguous,Grey fallback,"1 THE KNOLL CRESCENT, COROMANDEL VALLEY SA | 2 THE KNOLL CRESCENT, COROMANDEL VALLEY SA | THE KNOLL CRESCENT, COROMANDEL VALLEY SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
596,CORO EAST & CHERRY-28,CORO EAST & CHERRY,THORLEY ROAD,CLARENDON,THORLEY ROAD,CLARENDON,THORLEY ROAD|CLARENDON,No,Ambiguous,Ambiguous,Grey fallback,"1 THORLEY ROAD, CLARENDON SA | 2 THORLEY ROAD, CLARENDON SA | THORLEY ROAD, CLARENDON SA",,,,,,No,street-only: 3 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
600,BLACKWOOD MAIN-421,BLACKWOOD MAIN,TILLEYS HILL ROAD,BROWNHILL CREEK · MITCHAM,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
601,BLACKWOOD MAIN-422,BLACKWOOD MAIN,TIPARRA STREET,EDEN HILLS,TIPARRA STREET,EDEN HILLS,TIPARRA STREET|EDEN HILLS,No,Ambiguous,Ambiguous,Grey fallback,"1 TIPARRA STREET, EDEN HILLS SA | 2 TIPARRA STREET, EDEN HILLS SA | TIPARRA STREET, EDEN HILLS SA",,,,,,No,No. 2: 5 distinct exact candidates; street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
609,CORO STREETS-101,CORO STREETS,TURNERS AVENUE,COROMANDEL VALLEY,TURNERS AVENUE,COROMANDEL VALLEY,TURNERS AVENUE|COROMANDEL VALLEY,No,Ambiguous,Ambiguous,Grey fallback,"1 TURNERS AVENUE, COROMANDEL VALLEY SA | 2 TURNERS AVENUE, COROMANDEL VALLEY SA | TURNERS AVENUE, COROMANDEL VALLEY SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
613,BLACKWOOD MAIN-432,BLACKWOOD MAIN,UPPER STURT ROAD,GLENALTA,UPPER STURT ROAD,GLENALTA,UPPER STURT ROAD|GLENALTA,No,Ambiguous,Ambiguous,Grey fallback,"1 UPPER STURT ROAD, GLENALTA SA | 2 UPPER STURT ROAD, GLENALTA SA | UPPER STURT ROAD, GLENALTA SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
622,CORO EAST & CHERRY-29,CORO EAST & CHERRY,VICKS ROAD,CHERRY GARDENS · IRON BANK,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
626,BLACKWOOD MAIN-441,BLACKWOOD MAIN,WAITE STREET,BLACKWOOD,WAITE STREET,BLACKWOOD,WAITE STREET|BLACKWOOD,No,Ambiguous,Ambiguous,Grey fallback,"1 WAITE STREET, BLACKWOOD SA | 2 WAITE STREET, BLACKWOOD SA | WAITE STREET, BLACKWOOD SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
642,CORO EAST & CHERRY-31,CORO EAST & CHERRY,WEYMOUTH ROAD,CHERRY GARDENS,WEYMOUTH ROAD,CHERRY GARDENS,WEYMOUTH ROAD|CHERRY GARDENS,No,Ambiguous,Ambiguous,Grey fallback,"1 WEYMOUTH ROAD, CHERRY GARDENS SA | 2 WEYMOUTH ROAD, CHERRY GARDENS SA | WEYMOUTH ROAD, CHERRY GARDENS SA",,,,,,No,street-only: 3 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
645,CORO STREETS-105,CORO STREETS,WILDHEATH ROAD,Formerly PRIVATE ROAD · COROMANDEL VALLEY,,,,No,Ambiguous,Ambiguous authoritative locality fields,Grey fallback,,,,,,,No,Multiple authoritative locality values are stored for this Directions entry; no locality was guessed.,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
646,BLACKWOOD PARK-58,BLACKWOOD PARK,WILLIAM RUFUS PLACE,CRAIGBURN FARM,WILLIAM RUFUS PLACE,CRAIGBURN FARM,WILLIAM RUFUS PLACE|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Grey fallback,"1 WILLIAM RUFUS PLACE, CRAIGBURN FARM SA | 2 WILLIAM RUFUS PLACE, CRAIGBURN FARM SA | WILLIAM RUFUS PLACE, CRAIGBURN FARM SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
657,BLACKWOOD MAIN-460,BLACKWOOD MAIN,WINNS ROAD,COROMANDEL VALLEY,WINNS ROAD,COROMANDEL VALLEY,WINNS ROAD|COROMANDEL VALLEY,Yes,Ambiguous,Ambiguous,Grey fallback,"1 WINNS ROAD, COROMANDEL VALLEY SA | 2 WINNS ROAD, COROMANDEL VALLEY SA | WINNS ROAD, COROMANDEL VALLEY SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
658,CORO STREETS-106,CORO STREETS,WINNS ROAD,COROMANDEL VALLEY,WINNS ROAD,COROMANDEL VALLEY,WINNS ROAD|COROMANDEL VALLEY,Yes,Ambiguous,Ambiguous,Grey fallback,"1 WINNS ROAD, COROMANDEL VALLEY SA | 2 WINNS ROAD, COROMANDEL VALLEY SA | WINNS ROAD, COROMANDEL VALLEY SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
665,BLACKWOOD PARK-60,BLACKWOOD PARK,WOODLAKE DRIVE,CRAIGBURN FARM,WOODLAKE DRIVE,CRAIGBURN FARM,WOODLAKE DRIVE|CRAIGBURN FARM,No,Ambiguous,Ambiguous,Grey fallback,"1 WOODLAKE DRIVE, CRAIGBURN FARM SA | 2 WOODLAKE DRIVE, CRAIGBURN FARM SA | WOODLAKE DRIVE, CRAIGBURN FARM SA",,,,,,No,street-only: 10 distinct exact candidates,"16A GORSE AVENUE, HAWTHORNDENE, SOUTH AUSTRALIA, 5051"
